experiment,max_concurrency,failed_requests,request_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,mean_e2el_ms,p50_e2el_ms,p90_e2el_ms
c4,4,0,2.12,1629.18,42.29,53.16,54.08,1884.13,1888.45,1890.16
c8,8,0,4.15,3187.34,45.96,30.27,93.87,1925.89,1918.73,1945.77
c16,16,0,7.7,5912.48,38.24,30.22,56.6,2068.75,2066.18,2085.86
c24,24,0,10.66,8186.65,46.17,30.9,99.71,2213.51,2216.25,2234.91
c32,32,0,13.31,10218.78,39.12,32.08,59.66,2359.22,2362.95,2379.91
c48,48,0,17.24,13240.43,48.24,39.84,74.43,2679.75,2697.57,2714.02
c64,64,0,20.29,15584.22,62.78,54.81,103.17,3013.11,3045.96,3068.54
c96,96,0,23.65,18166.91,53.31,50.96,69.18,3444.49,3520.78,3631.28
c128,128,0,23.66,18169.31,54.62,52.01,70.79,3451.05,3518.78,3684.02
c150,150,0,23.66,18169.05,54.61,52.07,70.31,3463.14,3537.54,3698.84
c180,180,0,23.66,18168.42,53.86,51.43,69.3,3450.75,3529.92,3672.25
c200,200,0,23.65,18165.23,54.73,51.85,70.57,3468.68,3545.35,3705.39
c256,256,0,23.65,18166.04,54.32,51.94,70.04,3454.64,3528.18,3691.06
