experiment,request_rate,failed_requests,request_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,mean_e2el_ms,p50_e2el_ms,p90_e2el_ms
rps5,5,0,4.96,3805.54,31.66,31.36,35.39,2007.03,2015.43,2057.79
rps10,10,0,9.81,7536.12,34.58,33.44,41.85,2204.94,2200.46,2309.58
rps15,15,0,14.56,11184.95,38.7,37.14,47.93,2486.27,2491.2,2661.61
rps20,20,0,19.19,14738.5,44.38,42.11,55.46,2870.14,2903.03,3041.35
rps25,25,0,23.66,18170.15,53.1,50.87,67.78,3447.43,3519.96,3677.97
rps30,30,0,27.06,20782.29,71.85,66.82,112.19,4290.87,4447.56,4468.81
rps35,35,0,27.26,20932.32,76.45,72.13,116.27,4340.21,4477.14,4493.54
rps40,40,0,27.49,21110.08,88.54,68.33,162.28,4353.88,4476.05,4490.47
rps50,50,0,27.69,21264.4,111.66,85.85,237.22,4393.82,4495.36,4519.58
rps60,60,0,27.61,21207.99,141.71,117.41,257.26,4460.79,4560.17,4584.81
rps80,80,0,27.75,21309.95,225.73,231.89,400.5,4495.48,4572.7,4589.62
rps100,100,0,27.68,21255.56,294.12,354.15,440.04,4531.21,4594.32,4615.84
rps120,120,0,27.64,21230.24,406.24,393.13,699.48,4555.43,4617.85,4641.6
rps150,150,0,27.61,21207.65,474.01,458.89,763.21,4575.4,4624.95,4639.14
rps200,200,0,27.66,21246.48,527.67,541.18,777.42,4581.19,4603.79,4808.48
rps250,250,0,27.63,21218.13,601.35,707.36,762.12,4595.4,4619.52,4637.79
rps300,300,0,27.63,21222.64,617.87,621.26,947.43,4600.02,4620.14,4828.66
rps400,400,0,27.62,21211.24,605.84,642.18,762.63,4609.35,4626.67,4752.97
rps500,500,0,27.62,21213.54,628.24,659.94,905.8,4612.51,4627.39,4803.46
