experiment,config,failed_requests,request_throughput,total_token_throughput,mean_ttft_ms,p50_ttft_ms,p90_ttft_ms,mean_e2el_ms,p50_e2el_ms,p90_e2el_ms
baseline,baseline,0,21.38,16419.77,773.21,599.43,1034.44,4205.37,3955.38,4275.52
batched-tokens-16384,batched-tokens-16384,0,23.61,18134.64,54.05,51.61,71.85,3502.12,3574.47,3689.96
batched-tokens-4096,batched-tokens-4096,0,23.62,18138.24,54.57,52.15,70.27,3497.85,3571.22,3693.07
fp8-full,fp8-full,0,24.09,18498.41,48.8,47.68,62.21,2527.84,2579.29,2761.33
fp8-weights-only,fp8-weights-only,0,24.0,18433.3,52.15,50.78,66.15,2790.54,2867.46,3011.99
kv-cache-fp8,kv-cache-fp8,0,23.7,18202.51,53.73,52.54,70.24,3254.86,3320.53,3448.76
max-seqs-256,max-seqs-256,0,23.65,18163.62,54.33,51.85,71.36,3486.57,3568.67,3656.8
max-seqs-512,max-seqs-512,0,23.64,18154.38,55.7,52.82,74.08,3499.49,3583.19,3680.18
max-seqs-64,max-seqs-64,0,20.3,15593.31,1367.57,1423.94,1964.26,4345.23,4409.25,4973.88
no-chunked-prefill,no-chunked-prefill,0,23.6,18127.38,54.29,51.57,71.9,3515.96,3585.95,3704.86
no-prefix-caching,no-prefix-caching,0,23.6,18123.3,54.91,51.87,73.07,3526.61,3603.22,3712.05
